Station	AirQuality	Longitude	Latitude	O3Hour	O3Quality	O3Value	NO2Hour	NO2Quality	NO2Value	PM10Hour	PM10Quality	PM10Value	Generated	Date Time
Barcelo - Ciutadella	Good	2.1874	41.3864	11h	Good	34	11h	Good	34				28/11/2018 14:00	1543410301
Barcelo - Vall Hebron	Good	2.148	41.4261	13h	Good	49	13h	Good	14	13h	Good	12	28/11/2018 14:00	1543410301
Barcelo - Palau Reial	Good	2.1151	41.3875	13h	Good	45	13h	Good	14	13h	Good	13	28/11/2018 14:00	1543410301
Barcelo - Poblenou	Good	2.2045	41.4039				13h	Good	35	13h	Good	25	28/11/2018 14:00	1543410301
Barcelo - Observ Fabra	Good	2.1239	41.4183	13h	Good	68	13h	Good	8	13h	Good	9	28/11/2018 14:00	1543410301
Barcelo - Sants	Good	2.1331	41.3788				14h	Good	17				28/11/2018 15:00	1543413901
Barcelo - Eixample	Good	2.1538	41.3853	14h	Good	23	14h	Good	48	14h	Good	23	28/11/2018 15:00	1543413901
Barcelo - Gr??cia	Good	2.1534	41.3987	12h	--		12h	--		14h	Good	18	28/11/2018 15:00	1543413901
Barcelo - Ciutadella	--	2.1874	41.3864	12h	--		12h	--					28/11/2018 15:00	1543413901
Barcelo - Vall Hebron	Good	2.148	41.4261	14h	Good	46	14h	Good	19	14h	Good	12	28/11/2018 15:00	1543413901
Barcelo - Palau Reial	Good	2.1151	41.3875	13h	Good	45	13h	Good	14	14h	Good	13	28/11/2018 15:00	1543413901
Barcelo - Poblenou	Good	2.2045	41.4039				14h	Good	35	14h	Good	25	28/11/2018 15:00	1543413901
Barcelo - Observ Fabra	Good	2.1239	41.4183	14h	Good	61	14h	Good	15	14h	Good	9	28/11/2018 15:00	1543413901
Barcelo - Sants	Good	2.1331	41.3788				15h	Good	33				28/11/2018 16:00	1543417501
Barcelo - Eixample	Good	2.1538	41.3853	14h	Good	23	14h	Good	48	15h	Good	23	28/11/2018 16:00	1543417501
Barcelo - Gr??cia	Good	2.1534	41.3987	15h	Good	33	15h	Good	40	15h	Good	18	28/11/2018 16:00	1543417501
Barcelo - Ciutadella	Good	2.1874	41.3864	13h	Good	34	13h	Good	34				28/11/2018 16:00	1543417501
Barcelo - Vall Hebron	Good	2.148	41.4261	15h	Good	44	15h	Good	24	15h	Good	12	28/11/2018 16:00	1543417501
Barcelo - Palau Reial	Good	2.1151	41.3875	15h	Good	25	15h	Good	39	15h	Good	13	28/11/2018 16:00	1543417501
Barcelo - Poblenou	Good	2.2045	41.4039				14h	Good	35	15h	Good	26	28/11/2018 16:00	1543417501
Barcelo - Observ Fabra	Good	2.1239	41.4183	15h	Good	70	15h	Good	11	15h	Good	9	28/11/2018 16:00	1543417501
Barcelo - Sants	Good	2.1331	41.3788				16h	Good	39				28/11/2018 17:00	1543421102
Barcelo - Eixample	Good	2.1538	41.3853	14h	Good	23	14h	Good	48	16h	Good	23	28/11/2018 17:00	1543421102
Barcelo - Gr??cia	Good	2.1534	41.3987	16h	Good	17	16h	Good	60	16h	Good	18	28/11/2018 17:00	1543421102
Barcelo - Ciutadella	Good	2.1874	41.3864	16h	Good	16	16h	Good	55				28/11/2018 17:00	1543421102
Barcelo - Vall Hebron	Good	2.148	41.4261	16h	Good	35	16h	Good	30	16h	Good	12	28/11/2018 17:00	1543421102
Barcelo - Palau Reial	Good	2.1151	41.3875	16h	Good	20	16h	Good	47	16h	Good	13	28/11/2018 17:00	1543421102
Barcelo - Poblenou	Good	2.2045	41.4039				14h	Good	35	16h	Good	28	28/11/2018 17:00	1543421102
Barcelo - Observ Fabra	Good	2.1239	41.4183	16h	Good	54	16h	Good	22	16h	Good	9	28/11/2018 17:00	1543421102
Barcelo - Sants	Good	2.1331	41.3788				17h	Good	60				28/11/2018 18:00	1543424701
Barcelo - Eixample	Good	2.1538	41.3853	15h	--		15h	--		17h	Good	24	28/11/2018 18:00	1543424701
Barcelo - Gr??cia	Good	2.1534	41.3987	17h	Good	11	17h	Good	64	17h	Good	18	28/11/2018 18:00	1543424701
Barcelo - Ciutadella	Good	2.1874	41.3864	17h	Good	7	17h	Good	67				28/11/2018 18:00	1543424701
Barcelo - Vall Hebron	Good	2.148	41.4261	17h	Good	28	17h	Good	33	17h	Good	12	28/11/2018 18:00	1543424701
Barcelo - Palau Reial	Good	2.1151	41.3875	17h	Good	7	17h	Good	58	17h	Good	13	28/11/2018 18:00	1543424701
Barcelo - Poblenou	Good	2.2045	41.4039				17h	Good	60	17h	Good	28	28/11/2018 18:00	1543424701
Barcelo - Observ Fabra	Good	2.1239	41.4183	17h	Good	63	17h	Good	14	17h	Good	9	28/11/2018 18:00	1543424701
Barcelo - Sants	Good	2.1331	41.3788				18h	Good	66				28/11/2018 19:00	1543428302
Barcelo - Eixample	Good	2.1538	41.3853	18h	Good	2	18h	Good	74	18h	Good	25	28/11/2018 19:00	1543428302
Barcelo - Gr??cia	Good	2.1534	41.3987	18h	Good	3	18h	Good	73	18h	Good	19	28/11/2018 19:00	1543428302
Barcelo - Ciutadella	Good	2.1874	41.3864	18h	Good	2	18h	Good	74				28/11/2018 19:00	1543428302
Barcelo - Vall Hebron	Good	2.148	41.4261	18h	Good	24	18h	Good	39	18h	Good	13	28/11/2018 19:00	1543428302
Barcelo - Palau Reial	Good	2.1151	41.3875	18h	Good	1	18h	Good	74	18h	Good	14	28/11/2018 19:00	1543428302
Barcelo - Poblenou	Good	2.2045	41.4039				18h	Good	78	18h	Good	28	28/11/2018 19:00	1543428302
Barcelo - Observ Fabra	Good	2.1239	41.4183	18h	Good	64	18h	Good	13	18h	Good	9	28/11/2018 19:00	1543428302
Barcelo - Sants	Good	2.1331	41.3788				19h	Good	61				28/11/2018 20:00	1543431902
Barcelo - Eixample	Good	2.1538	41.3853	19h	Good	2	19h	Good	70	19h	Good	25	28/11/2018 20:00	1543431902
Barcelo - Gr??cia	Moderate	2.1534	41.3987	19h	Good	2	19h	Moderate	97	19h	Good	19	28/11/2018 20:00	1543431902
Barcelo - Ciutadella	Good	2.1874	41.3864	19h	Good	2	19h	Good	61				28/11/2018 20:00	1543431902
Barcelo - Vall Hebron	Good	2.148	41.4261	19h	Good	12	19h	Good	53	19h	Good	13	28/11/2018 20:00	1543431902
Barcelo - Palau Reial	Good	2.1151	41.3875	19h	Good	3	19h	Good	65	19h	Good	15	28/11/2018 20:00	1543431902
Barcelo - Poblenou	Good	2.2045	41.4039				19h	Good	81	19h	Good	29	28/11/2018 20:00	1543431902
Barcelo - Observ Fabra	Good	2.1239	41.4183	19h	Good	81	19h	Good	9	19h	Good	9	28/11/2018 20:00	1543431902
Barcelo - Sants	Good	2.1331	41.3788				20h	Good	68				28/11/2018 21:00	1543435502
Barcelo - Eixample	Good	2.1538	41.3853	20h	Good	2	20h	Good	80	20h	Good	26	28/11/2018 21:00	1543435502
Barcelo - Gr??cia	Moderate	2.1534	41.3987	19h	Good	2	19h	Moderate	97	20h	Good	19	28/11/2018 21:00	1543435502
Barcelo - Ciutadella	Good	2.1874	41.3864	20h	Good	2	20h	Good	60				28/11/2018 21:00	1543435502
Barcelo - Vall Hebron	Good	2.148	41.4261	20h	Good	7	20h	Good	60	20h	Good	13	28/11/2018 21:00	1543435502
Barcelo - Palau Reial	Good	2.1151	41.3875	20h	Good	2	20h	Good	70	20h	Good	15	28/11/2018 21:00	1543435502
Barcelo - Poblenou	Good	2.2045	41.4039				20h	Good	79	20h	Good	29	28/11/2018 21:00	1543435502
Barcelo - Observ Fabra	Good	2.1239	41.4183	20h	Good	70	20h	Good	10	20h	Good	9	28/11/2018 21:00	1543435502
Barcelo - Sants	Good	2.1331	41.3788				21h	Good	55				28/11/2018 22:00	1543439102
Barcelo - Eixample	Moderate	2.1538	41.3853	21h	Good	3	21h	Moderate	94	21h	Good	26	28/11/2018 22:00	1543439102
Barcelo - Gr??cia	Moderate	2.1534	41.3987	19h	Good	2	19h	Moderate	97	21h	Good	19	28/11/2018 22:00	1543439102
Barcelo - Ciutadella	Good	2.1874	41.3864	21h	Good	2	21h	Good	59				28/11/2018 22:00	1543439102
Barcelo - Vall Hebron	Good	2.148	41.4261	21h	Good	6	21h	Good	60	21h	Good	13	28/11/2018 22:00	1543439102
Barcelo - Palau Reial	Good	2.1151	41.3875	21h	Good	9	21h	Good	55	21h	Good	14	28/11/2018 22:00	1543439102
Barcelo - Poblenou	Good	2.2045	41.4039				21h	Good	68	21h	Good	29	28/11/2018 22:00	1543439102
Barcelo - Observ Fabra	Good	2.1239	41.4183	21h	Good	74	21h	Good	8	21h	Good	8	28/11/2018 22:00	1543439102
Barcelo - Sants	Good	2.1331	41.3788				22h	Good	65				28/11/2018 23:00	1543442702
Barcelo - Eixample	Good	2.1538	41.3853	22h	Good	2	22h	Good	76	22h	Good	26	28/11/2018 23:00	1543442702
Barcelo - Gr??cia	Good	2.1534	41.3987	20h	--		20h	--		22h	Good	18	28/11/2018 23:00	1543442702
Barcelo - Ciutadella	Good	2.1874	41.3864	22h	Good	2	22h	Good	57				28/11/2018 23:00	1543442702
Barcelo - Vall Hebron	Good	2.148	41.4261	22h	Good	3	22h	Good	60	22h	Good	14	28/11/2018 23:00	1543442702
Barcelo - Palau Reial	Good	2.1151	41.3875	22h	Good	1	22h	Good	69	22h	Good	15	28/11/2018 23:00	1543442702
Barcelo - Poblenou	Good	2.2045	41.4039				22h	Good	65	22h	Good	28	28/11/2018 23:00	1543442702
Barcelo - Observ Fabra	Good	2.1239	41.4183	22h	Good	67	22h	Good	16	22h	Good	8	28/11/2018 23:00	1543442702
Barcelo - Sants	Good	2.1331	41.3788				23h	Good	72				29/11/2018 0:00	1543446302
Barcelo - Eixample	Good	2.1538	41.3853	23h	Good	3	23h	Good	88	23h	Good	26	29/11/2018 0:00	1543446302
Barcelo - Gr??cia	Good	2.1534	41.3987							23h	Good	18	29/11/2018 0:00	1543446302
Barcelo - Ciutadella	Good	2.1874	41.3864	23h	Good	2	23h	Good	53				29/11/2018 0:00	1543446302
Barcelo - Vall Hebron	Good	2.148	41.4261	23h	Good	2	23h	Good	64	23h	Good	14	29/11/2018 0:00	1543446302
Barcelo - Palau Reial	Good	2.1151	41.3875	23h	Good	1	23h	Good	73	23h	Good	15	29/11/2018 0:00	1543446302
Barcelo - Poblenou	Good	2.2045	41.4039				23h	Good	62	23h	Good	28	29/11/2018 0:00	1543446302
Barcelo - Observ Fabra	Good	2.1239	41.4183	23h	Good	76	23h	Good	12	23h	Good	8	29/11/2018 0:00	1543446302
Barcelo - Sants	Good	2.1331	41.3788				0h	Good	72				29/11/2018 1:00	1543449902
Barcelo - Eixample	Good	2.1538	41.3853	0h	Good	3	0h	Good	86	0h	Good	27	29/11/2018 1:00	1543449902
Barcelo - Gr??cia	Moderate	2.1534	41.3987	0h	Good	3	0h	Moderate	95	0h	Good	22	29/11/2018 1:00	1543449902
Barcelo - Ciutadella	Good	2.1874	41.3864	0h	Good	2	0h	Good	48				29/11/2018 1:00	1543449902
Barcelo - Vall Hebron	Good	2.148	41.4261	0h	Good	3	0h	Good	65	0h	Good	14	29/11/2018 1:00	1543449902
Barcelo - Palau Reial	Good	2.1151	41.3875	0h	Good	1	0h	Good	62	0h	Good	15	29/11/2018 1:00	1543449902
Barcelo - Poblenou	Good	2.2045	41.4039				0h	Good	56	0h	Good	28	29/11/2018 1:00	1543449902
Barcelo - Observ Fabra	Good	2.1239	41.4183	0h	Good	64	0h	Good	23	0h	Good	8	29/11/2018 1:00	1543449902
Barcelo - Sants	Good	2.1331	41.3788				1h	Good	69				29/11/2018 2:00	1543453501
Barcelo - Eixample	Good	2.1538	41.3853	1h	Good	3	1h	Good	86	1h	Good	28	29/11/2018 2:00	1543453501
Barcelo - Gr??cia	Good	2.1534	41.3987	1h	Good	1	1h	Good	76	1h	Good	22	29/11/2018 2:00	1543453501
Barcelo - Ciutadella	Good	2.1874	41.3864	1h	Good	3	1h	Good	48				29/11/2018 2:00	1543453501
Barcelo - Vall Hebron	Good	2.148	41.4261	1h	Good	2	1h	Good	63	1h	Good	15	29/11/2018 2:00	1543453501
Barcelo - Palau Reial	Good	2.1151	41.3875	1h	Good	1	1h	Good	58	1h	Good	16	29/11/2018 2:00	1543453501
Barcelo - Poblenou	Good	2.2045	41.4039				1h	Good	51	1h	Good	28	29/11/2018 2:00	1543453501
Barcelo - Observ Fabra	Good	2.1239	41.4183	1h	Good	29	1h	Good	53	1h	Good	9	29/11/2018 2:00	1543453501
Barcelo - Sants	Good	2.1331	41.3788				2h	Good	61				29/11/2018 3:00	1543457102
Barcelo - Eixample	Good	2.1538	41.3853	2h	Good	2	2h	Good	81	2h	Good	30	29/11/2018 3:00	1543457102
Barcelo - Gr??cia	Good	2.1534	41.3987	2h	Good	1	2h	Good	61	2h	Good	23	29/11/2018 3:00	1543457102
Barcelo - Ciutadella	Good	2.1874	41.3864	2h	Good	2	2h	Good	43				29/11/2018 3:00	1543457102
Barcelo - Vall Hebron	Good	2.148	41.4261	2h	Good	2	2h	Good	58	2h	Good	15	29/11/2018 3:00	1543457102
Barcelo - Palau Reial	Good	2.1151	41.3875	2h	Good	1	2h	Good	56	2h	Good	16	29/11/2018 3:00	1543457102
Barcelo - Poblenou	Good	2.2045	41.4039				2h	Good	49	2h	Good	29	29/11/2018 3:00	1543457102
Barcelo - Observ Fabra	Good	2.1239	41.4183	2h	Good	35	2h	Good	36	2h	Good	10	29/11/2018 3:00	1543457102
Barcelo - Sants	Good	2.1331	41.3788				3h	Good	52				29/11/2018 4:00	1543460701
Barcelo - Eixample	Good	2.1538	41.3853	3h	Good	2	3h	Good	67	3h	Good	31	29/11/2018 4:00	1543460701
Barcelo - Gr??cia	Good	2.1534	41.3987	3h	Good	1	3h	Good	52	3h	Good	23	29/11/2018 4:00	1543460701
Barcelo - Ciutadella	Good	2.1874	41.3864	3h	Good	2	3h	Good	45				29/11/2018 4:00	1543460701
Barcelo - Vall Hebron	Good	2.148	41.4261	3h	Good	2	3h	Good	47	3h	Good	16	29/11/2018 4:00	1543460701
Barcelo - Palau Reial	Good	2.1151	41.3875	3h	Good	1	3h	Good	46	3h	Good	16	29/11/2018 4:00	1543460701
Barcelo - Poblenou	Good	2.2045	41.4039				3h	Good	47	3h	Good	29	29/11/2018 4:00	1543460701
Barcelo - Observ Fabra	Good	2.1239	41.4183	3h	Good	42	3h	Good	26	3h	Good	10	29/11/2018 4:00	1543460701
Barcelo - Sants	Good	2.1331	41.3788				4h	Good	46				29/11/2018 5:00	1543464301
Barcelo - Eixample	Good	2.1538	41.3853	4h	Good	2	4h	Good	55	4h	Good	32	29/11/2018 5:00	1543464301
Barcelo - Gr??cia	Good	2.1534	41.3987	4h	Good	6	4h	Good	46	5h	Good	24	29/11/2018 5:00	1543464301
Barcelo - Ciutadella	Good	2.1874	41.3864	4h	Good	2	4h	Good	47				29/11/2018 5:00	1543464301
Barcelo - Vall Hebron	Good	2.148	41.4261	4h	Good	7	4h	Good	39	4h	Good	16	29/11/2018 5:00	1543464301
Barcelo - Palau Reial	Good	2.1151	41.3875	4h	Good	1	4h	Good	35	4h	Good	17	29/11/2018 5:00	1543464301
Barcelo - Poblenou	Good	2.2045	41.4039				4h	Good	42	4h	Good	29	29/11/2018 5:00	1543464301
Barcelo - Observ Fabra	Good	2.1239	41.4183	4h	Good	52	4h	Good	18	4h	Good	10	29/11/2018 5:00	1543464301
Barcelo - Sants	Good	2.1331	41.3788				5h	Good	41				29/11/2018 6:00	1543467901
Barcelo - Eixample	Good	2.1538	41.3853	5h	Good	2	5h	Good	48	5h	Good	32	29/11/2018 6:00	1543467901
Barcelo - Gr??cia	Good	2.1534	41.3987	5h	Good	6	5h	Good	45	5h	Good	24	29/11/2018 6:00	1543467901
Barcelo - Ciutadella	Good	2.1874	41.3864	5h	Good	2	5h	Good	45				29/11/2018 6:00	1543467901
Barcelo - Vall Hebron	Good	2.148	41.4261	5h	Good	8	5h	Good	37	5h	Good	16	29/11/2018 6:00	1543467901
Barcelo - Palau Reial	Good	2.1151	41.3875	5h	Good	1	5h	Good	32	5h	Good	17	29/11/2018 6:00	1543467901
Barcelo - Poblenou	Good	2.2045	41.4039				5h	Good	39	5h	Good	29	29/11/2018 6:00	1543467901
Barcelo - Observ Fabra	Good	2.1239	41.4183	5h	Good	51	5h	Good	17	5h	Good	11	29/11/2018 6:00	1543467901
Barcelo - Sants	Good	2.1331	41.3788				6h	Good	36				29/11/2018 7:00	1543471502
Barcelo - Eixample	Good	2.1538	41.3853	6h	Good	2	6h	Good	43	6h	Good	32	29/11/2018 7:00	1543471502
Barcelo - Gr??cia	Good	2.1534	41.3987	6h	Good	7	6h	Good	47	6h	Good	24	29/11/2018 7:00	1543471502
Barcelo - Ciutadella	Good	2.1874	41.3864	6h	Good	2	6h	Good	43				29/11/2018 7:00	1543471502
Barcelo - Vall Hebron	Good	2.148	41.4261	6h	Good	8	6h	Good	40	6h	Good	16	29/11/2018 7:00	1543471502
Barcelo - Palau Reial	Good	2.1151	41.3875	6h	Good	1	6h	Good	35	6h	Good	18	29/11/2018 7:00	1543471502
Barcelo - Poblenou	Good	2.2045	41.4039				6h	Good	37	6h	Good	29	29/11/2018 7:00	1543471502
Barcelo - Observ Fabra	Good	2.1239	41.4183	6h	Good	50	6h	Good	17	6h	Good	11	29/11/2018 7:00	1543471502
Barcelo - Sants	Good	2.1331	41.3788				7h	Good	36				29/11/2018 8:00	1543475102
Barcelo - Eixample	Good	2.1538	41.3853	7h	Good	2	7h	Good	50	7h	Good	33	29/11/2018 8:00	1543475102
Barcelo - Gr??cia	Good	2.1534	41.3987	7h	Good	2	7h	Good	58	7h	Good	24	29/11/2018 8:00	1543475102
Barcelo - Ciutadella	Good	2.1874	41.3864	7h	Good	2	7h	Good	36				29/11/2018 8:00	1543475102
Barcelo - Vall Hebron	Good	2.148	41.4261	7h	Good	2	7h	Good	57	7h	Good	16	29/11/2018 8:00	1543475102
Barcelo - Palau Reial	Good	2.1151	41.3875	7h	Good	1	7h	Good	37	7h	Good	18	29/11/2018 8:00	1543475102
Barcelo - Poblenou	Good	2.2045	41.4039				7h	Good	40	7h	Good	29	29/11/2018 8:00	1543475102
Barcelo - Observ Fabra	Good	2.1239	41.4183	7h	Good	49	7h	Good	18	7h	Good	12	29/11/2018 8:00	1543475102
Barcelo - Sants	Good	2.1331	41.3788				8h	Good	43				29/11/2018 9:00	1543478702
Barcelo - Eixample	Good	2.1538	41.3853	8h	Good	2	8h	Good	63	8h	Good	33	29/11/2018 9:00	1543478702
Barcelo - Gr??cia	Good	2.1534	41.3987	8h	Good	1	8h	Good	87	8h	Good	25	29/11/2018 9:00	1543478702
Barcelo - Ciutadella	Good	2.1874	41.3864	8h	Good	2	8h	Good	41				29/11/2018 9:00	1543478702
Barcelo - Vall Hebron	Good	2.148	41.4261	8h	Good	2	8h	Good	65	8h	Good	17	29/11/2018 9:00	1543478702
Barcelo - Palau Reial	Good	2.1151	41.3875	8h	Good	1	8h	Good	55	8h	Good	18	29/11/2018 9:00	1543478702
Barcelo - Poblenou	Good	2.2045	41.4039				8h	Good	44	8h	Good	29	29/11/2018 9:00	1543478702
Barcelo - Observ Fabra	Good	2.1239	41.4183	8h	Good	64	8h	Good	12	8h	Good	12	29/11/2018 9:00	1543478702
Barcelo - Sants	Good	2.1331	41.3788				9h	Good	58				29/11/2018 10:00	1543482302
Barcelo - Eixample	Good	2.1538	41.3853	9h	Good	3	9h	Good	88	9h	Good	34	29/11/2018 10:00	1543482302
Barcelo - Gr??cia	Moderate	2.1534	41.3987	9h	Good	2	9h	Moderate	116	9h	Good	26	29/11/2018 10:00	1543482302
Barcelo - Ciutadella	Good	2.1874	41.3864	9h	Good	2	9h	Good	49				29/11/2018 10:00	1543482302
Barcelo - Vall Hebron	Good	2.148	41.4261	9h	Good	3	9h	Good	77	9h	Good	17	29/11/2018 10:00	1543482302
Barcelo - Palau Reial	Good	2.1151	41.3875	9h	Good	1	9h	Good	74	9h	Good	19	29/11/2018 10:00	1543482302
Barcelo - Poblenou	Good	2.2045	41.4039				9h	Good	47	9h	Good	30	29/11/2018 10:00	1543482302
Barcelo - Observ Fabra	Good	2.1239	41.4183	9h	Good	77	9h	Good	8	9h	Good	12	29/11/2018 10:00	1543482302
Barcelo - Sants	Good	2.1331	41.3788				10h	Good	79				29/11/2018 11:00	1543485902
Barcelo - Eixample	Moderate	2.1538	41.3853	10h	Good	2	10h	Moderate	108	10h	Moderate	37	29/11/2018 11:00	1543485902
Barcelo - Gr??cia	Moderate	2.1534	41.3987	10h	Good	4	10h	Moderate	102	10h	Good	28	29/11/2018 11:00	1543485902
Barcelo - Ciutadella	Good	2.1874	41.3864	10h	Good	3	10h	Good	59				29/11/2018 11:00	1543485902
Barcelo - Vall Hebron	Good	2.148	41.4261	10h	Good	4	10h	Good	66	10h	Good	17	29/11/2018 11:00	1543485902
Barcelo - Palau Reial	Moderate	2.1151	41.3875	10h	Good	1	10h	Moderate	95	10h	Good	20	29/11/2018 11:00	1543485902
Barcelo - Poblenou	Good	2.2045	41.4039				10h	Good	53	10h	Good	29	29/11/2018 11:00	1543485902
Barcelo - Observ Fabra	Good	2.1239	41.4183	10h	Good	83	10h	Good	6	10h	Good	12	29/11/2018 11:00	1543485902
Barcelo - Sants	Good	2.1331	41.3788				11h	Good	73				29/11/2018 12:00	1543489501
Barcelo - Eixample	Moderate	2.1538	41.3853	11h	Good	2	11h	Moderate	109	11h	Moderate	39	29/11/2018 12:00	1543489501
Barcelo - Gr??cia	Good	2.1534	41.3987	11h	Good	8	11h	Good	71	11h	Good	28	29/11/2018 12:00	1543489501
Barcelo - Ciutadella	Good	2.1874	41.3864	11h	Good	3	11h	Good	67				29/11/2018 12:00	1543489501
Barcelo - Vall Hebron	Good	2.148	41.4261	11h	Good	12	11h	Good	42	11h	Good	18	29/11/2018 12:00	1543489501
Barcelo - Palau Reial	Moderate	2.1151	41.3875	11h	Good	2	11h	Moderate	99	11h	Good	22	29/11/2018 12:00	1543489501
Barcelo - Poblenou	Good	2.2045	41.4039				11h	Good	55	11h	Good	30	29/11/2018 12:00	1543489501
Barcelo - Observ Fabra	Good	2.1239	41.4183	11h	Good	77	11h	Good	8	11h	Good	12	29/11/2018 12:00	1543489501
Barcelo - Sants	Good	2.1331	41.3788				12h	Good	56				29/11/2018 13:00	1543493101
Barcelo - Eixample	Moderate	2.1538	41.3853	12h	Good	4	12h	Good	78	12h	Moderate	41	29/11/2018 13:00	1543493101
Barcelo - Gr??cia	Good	2.1534	41.3987	11h	Good	8	11h	Good	71	12h	Good	29	29/11/2018 13:00	1543493101
Barcelo - Ciutadella	Good	2.1874	41.3864	12h	Good	6	12h	Good	70				29/11/2018 13:00	1543493101
Barcelo - Vall Hebron	Good	2.148	41.4261	12h	Good	20	12h	Good	37	12h	Good	19	29/11/2018 13:00	1543493101
Barcelo - Palau Reial	Good	2.1151	41.3875	12h	Good	15	12h	Good	52	12h	Good	24	29/11/2018 13:00	1543493101
Barcelo - Poblenou	Good	2.2045	41.4039				12h	Good	62	12h	Good	32	29/11/2018 13:00	1543493101
Barcelo - Observ Fabra	Good	2.1239	41.4183	12h	Good	64	12h	Good	19	12h	Good	12	29/11/2018 13:00	1543493101
Barcelo - Sants	Good	2.1331	41.3788				13h	Good	40				29/11/2018 14:00	1543496702
Barcelo - Eixample	Moderate	2.1538	41.3853	13h	Good	12	13h	Good	59	13h	Moderate	42	29/11/2018 14:00	1543496702
Barcelo - Gr??cia	Good	2.1534	41.3987	11h	Good	8	11h	Good	71	13h	Good	29	29/11/2018 14:00	1543496702
Barcelo - Ciutadella	Good	2.1874	41.3864	13h	Good	18	13h	Good	50				29/11/2018 14:00	1543496702
Barcelo - Vall Hebron	Good	2.148	41.4261	13h	Good	47	13h	Good	26	13h	Good	20	29/11/2018 14:00	1543496702
Barcelo - Palau Reial	Good	2.1151	41.3875	13h	Good	20	13h	Good	47	13h	Good	24	29/11/2018 14:00	1543496702
Barcelo - Poblenou	Good	2.2045	41.4039				13h	Good	70	13h	Good	34	29/11/2018 14:00	1543496702
Barcelo - Observ Fabra	Good	2.1239	41.4183	13h	Good	71	13h	Good	14	13h	Good	13	29/11/2018 14:00	1543496702
Barcelo - Sants	Good	2.1331	41.3788				14h	Good	47				29/11/2018 15:00	1543500302
Barcelo - Eixample	Moderate	2.1538	41.3853	14h	Good	11	14h	Good	66	14h	Moderate	42	29/11/2018 15:00	1543500302
Barcelo - Gr??cia	Good	2.1534	41.3987	12h	--		12h	--		14h	Good	30	29/11/2018 15:00	1543500302
Barcelo - Ciutadella	Good	2.1874	41.3864	14h	Good	21	14h	Good	47				29/11/2018 15:00	1543500302
Barcelo - Vall Hebron	Good	2.148	41.4261	14h	Good	42	14h	Good	32	14h	Good	20	29/11/2018 15:00	1543500302
Barcelo - Palau Reial	Good	2.1151	41.3875	14h	Good	16	14h	Good	50	14h	Good	25	29/11/2018 15:00	1543500302
Barcelo - Poblenou	Good	2.2045	41.4039				14h	Good	56	14h	Good	35	29/11/2018 15:00	1543500302
Barcelo - Observ Fabra	Good	2.1239	41.4183	13h	Good	71	13h	Good	14	14h	Good	12	29/11/2018 15:00	1543500302
Barcelo - Sants	Good	2.1331	41.3788				15h	Good	45				29/11/2018 16:00	1543503902
Barcelo - Eixample	Moderate	2.1538	41.3853	15h	Good	15	15h	Good	60	15h	Moderate	43	29/11/2018 16:00	1543503902
Barcelo - Gr??cia	Good	2.1534	41.3987	15h	Good	20	15h	Good	62	15h	Good	31	29/11/2018 16:00	1543503902
Barcelo - Ciutadella	Good	2.1874	41.3864	15h	Good	20	15h	Good	51				29/11/2018 16:00	1543503902
Barcelo - Vall Hebron	Good	2.148	41.4261	15h	Good	40	15h	Good	37	15h	Good	20	29/11/2018 16:00	1543503902
Barcelo - Palau Reial	Good	2.1151	41.3875	15h	Good	17	15h	Good	51	15h	Good	25	29/11/2018 16:00	1543503902
Barcelo - Poblenou	Good	2.2045	41.4039				15h	Good	56	15h	Good	35	29/11/2018 16:00	1543503902
Barcelo - Observ Fabra	Good	2.1239	41.4183	13h	Good	71	13h	Good	14	15h	Good	13	29/11/2018 16:00	1543503902
Barcelo - Sants	Good	2.1331	41.3788				16h	Good	40				29/11/2018 17:00	1543507502
Barcelo - Eixample	Moderate	2.1538	41.3853	16h	Good	15	16h	Good	66	16h	Moderate	43	29/11/2018 17:00	1543507502
Barcelo - Gr??cia	Good	2.1534	41.3987	16h	Good	17	16h	Good	66	16h	Good	31	29/11/2018 17:00	1543507502
Barcelo - Ciutadella	Good	2.1874	41.3864	16h	Good	18	16h	Good	59				29/11/2018 17:00	1543507502
Barcelo - Vall Hebron	Good	2.148	41.4261	16h	Good	33	16h	Good	43	16h	Good	20	29/11/2018 17:00	1543507502
Barcelo - Palau Reial	Good	2.1151	41.3875	16h	Good	12	16h	Good	60	16h	Good	26	29/11/2018 17:00	1543507502
Barcelo - Poblenou	Good	2.2045	41.4039				16h	Good	64	16h	Good	34	29/11/2018 17:00	1543507502
Barcelo - Observ Fabra	Good	2.1239	41.4183	14h	--		14h	--		16h	Good	13	29/11/2018 17:00	1543507502
Barcelo - Sants	Good	2.1331	41.3788				17h	Good	34				29/11/2018 18:00	1543511102
Barcelo - Eixample	Moderate	2.1538	41.3853	17h	Good	13	17h	Good	78	17h	Moderate	42	29/11/2018 18:00	1543511102
Barcelo - Gr??cia	Good	2.1534	41.3987	17h	Good	17	17h	Good	71	17h	Good	31	29/11/2018 18:00	1543511102
Barcelo - Ciutadella	Good	2.1874	41.3864	17h	Good	21	17h	Good	60				29/11/2018 18:00	1543511102
Barcelo - Vall Hebron	Good	2.148	41.4261	17h	Good	23	17h	Good	57	17h	Good	20	29/11/2018 18:00	1543511102
